"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
1980-03-24,KCH80,"Coffee March 1980 Futures",185.32,217.05,1979-07-05,138,1979-04-05,+32.47%,1980-03-24
1980-05-22,KCK80,"Coffee May 1980 Futures",195.25,216.49,1979-06-29,147,1979-05-30,+30.21%,1980-05-22
1980-07-22,KCN80,"Coffee July 1980 Futures",157,208.45,1980-06-03,150,1980-07-17,-20.30%,1980-07-22
1980-09-19,KCU80,"Coffee September 1980 Futures",125,212,1980-05-16,119,1980-09-15,-35.69%,1980-09-19
1980-12-18,KCZ80,"Coffee December 1980 Futures",116.98,205.02,1980-06-03,102.1,1980-11-18,-34.88%,1980-12-18
1981-03-20,KCH81,"Coffee March 1981 Futures",123.37,197.87,1980-06-03,110.75,1980-11-18,-33.61%,1981-03-20
1981-05-19,KCK81,"Coffee May 1981 Futures",113,198.6,1980-06-03,113,1981-05-19,-41.75%,1981-05-19
1981-07-22,KCN81,"Coffee July 1981 Futures",127,166,1980-08-18,85.5,1981-06-26,-20.92%,1981-07-22
1981-09-21,KCU81,"Coffee September 1981 Futures",126.88,143.75,1980-09-22,83.75,1981-06-26,-9.38%,1981-09-21
1981-12-21,KCZ81,"Coffee December 1981 Futures",157.83,159,1981-12-21,82,1981-06-26,+26.01%,1981-12-21
1982-03-22,KCH82,"Coffee March 1982 Futures",138.5,162.9,1982-03-09,81,1981-06-26,+12.60%,1982-03-22
1982-05-19,KCK82,"Coffee May 1982 Futures",138.25,149,1982-03-08,80.5,1981-06-29,+21.27%,1982-05-19
1982-07-21,KCN82,"Coffee July 1982 Futures",132.64,142.25,1982-06-07,97,1981-09-01,+32.47%,1982-07-21
1982-09-21,KCU82,"Coffee September 1982 Futures",142,145,1982-09-21,112.9,1982-04-20,+18.09%,1982-09-21
1982-12-20,KCZ82,"Coffee December 1982 Futures",133.5,145.85,1982-10-01,110.6,1982-04-20,+7.55%,1982-12-20
1983-03-22,KCH83,"Coffee March 1983 Futures",125.25,142.49,1982-11-23,106,1982-07-28,+3.94%,1983-03-22
1983-05-19,KCK83,"Coffee May 1983 Futures",134.17,135.4,1982-11-26,103.51,1982-07-28,+23.66%,1983-05-19
1983-07-20,KCN83,"Coffee July 1983 Futures",127.75,135.5,1983-05-26,102,1982-07-28,+17.60%,1983-07-20
1983-09-21,KCU83,"Coffee September 1983 Futures",147.75,147.75,1983-09-21,116.2,1983-02-04,+22.51%,1983-09-21
1983-12-20,KCZ83,"Coffee December 1983 Futures",148.03,156.5,1983-12-20,113.75,1983-02-15,+25.05%,1983-12-20
1984-03-21,KCH84,"Coffee March 1984 Futures",153.86,155,1984-03-21,116,1983-03-23,+32.64%,1984-03-21
1984-05-21,KCK84,"Coffee May 1984 Futures",154,158.5,1984-05-21,119,1983-05-24,+28.17%,1984-05-21
1984-07-20,KCN84,"Coffee July 1984 Futures",144.23,158.42,1984-05-21,118.75,1983-08-08,+19.81%,1984-07-20
1984-09-19,KCU84,"Coffee September 1984 Futures",141.95,160,1984-08-27,123.3,1983-09-22,+15.17%,1984-09-19
1984-12-18,KCZ84,"Coffee December 1984 Futures",142,154.5,1984-05-23,125.55,1984-01-12,+6.57%,1984-12-18
1985-03-20,KCH85,"Coffee March 1985 Futures",142.5,153.7,1985-02-05,129,1984-03-21,+9.83%,1985-03-20
1985-05-21,KCK85,"Coffee May 1985 Futures",143.5,152,1984-05-22,131.31,1984-10-01,-4.16%,1985-05-21
1985-07-22,KCN85,"Coffee July 1985 Futures",133.43,149.4,1985-06-07,130.5,1984-10-01,-0.43%,1985-07-22
1985-09-19,KCU85,"Coffee September 1985 Futures",134.98,150.2,1985-06-13,129.5,1984-10-01,+1.11%,1985-09-19
1985-12-18,KCZ85,"Coffee December 1985 Futures",205.75,210,1985-12-17,132.3,1984-12-19,+54.96%,1985-12-18
1986-03-19,KCH86,"Coffee March 1986 Futures",241.63,276,1986-01-07,135.5,1985-07-23,+71.51%,1986-03-19
1986-05-20,KCK86,"Coffee May 1986 Futures",204.05,272.62,1986-01-10,136.2,1985-07-23,+41.43%,1986-05-20
1986-07-22,KCN86,"Coffee July 1986 Futures",187.13,278.38,1986-01-10,137.28,1985-07-23,+34.31%,1986-07-22
1986-09-19,KCU86,"Coffee September 1986 Futures",208.05,282.78,1986-01-10,139.25,1985-10-01,+46.79%,1986-09-19
1986-12-18,KCZ86,"Coffee December 1986 Futures",134.25,287.1,1986-01-10,134,1986-12-18,-40.86%,1986-12-18
1987-03-20,KCH87,"Coffee March 1987 Futures",103.95,261,1986-03-31,100.6,1987-03-16,-59.55%,1987-03-20
1987-05-19,KCK87,"Coffee May 1987 Futures",122.08,227.5,1986-05-21,98.1,1987-04-01,-46.55%,1987-05-19
1987-07-21,KCN87,"Coffee July 1987 Futures",102.5,206.5,1986-09-24,99,1987-07-07,-48.04%,1987-07-21
1987-09-18,KCU87,"Coffee September 1987 Futures",116,205,1986-09-23,99.5,1987-07-06,-41.56%,1987-09-18
1987-12-18,KCZ87,"Coffee December 1987 Futures",126.21,143.38,1986-12-22,102.25,1987-07-06,-10.01%,1987-12-18
1988-03-21,KCH88,"Coffee March 1988 Futures",131.5,142.75,1988-02-22,105,1987-07-07,+15.86%,1988-03-21
1988-05-18,KCK88,"Coffee May 1988 Futures",131.1,144.4,1988-02-22,107,1987-07-07,+4.88%,1988-05-18
1988-07-20,KCN88,"Coffee July 1988 Futures",133.75,146.25,1988-02-22,111,1987-07-31,+16.56%,1988-07-20
1988-09-20,KCU88,"Coffee September 1988 Futures",123,147.75,1988-02-22,108,1988-08-02,-0.47%,1988-09-20
1988-12-19,KCZ88,"Coffee December 1988 Futures",145.38,150.25,1988-02-22,110.75,1988-08-02,+6.27%,1988-12-19
1989-03-20,KCH89,"Coffee March 1989 Futures",136.13,166.9,1989-01-03,112.44,1988-08-02,-3.73%,1989-03-20
1989-05-18,KCK89,"Coffee May 1989 Futures",142.85,159.2,1989-01-03,112.13,1988-08-02,+6.41%,1989-05-18
1989-07-19,KCN89,"Coffee July 1989 Futures",87.03,155.25,1989-01-03,85.25,1989-07-12,-34.38%,1989-07-19
1989-09-19,KCU89,"Coffee September 1989 Futures",79.25,152.9,1989-01-03,74.8,1989-08-14,-35.17%,1989-09-19
1989-12-18,KCZ89,"Coffee December 1989 Futures",73.35,149.5,1989-01-03,68.3,1989-10-11,-45.18%,1989-12-18
1990-03-20,KCH90,"Coffee March 1990 Futures",88.46,124.5,1989-05-26,71,1989-10-16,-24.96%,1990-03-20
1990-05-18,KCK90,"Coffee May 1990 Futures",93.85,124.5,1989-05-26,72.75,1989-10-09,-23.07%,1990-05-18
1990-07-19,KCN90,"Coffee July 1990 Futures",85.9,106.8,1990-03-06,74.85,1989-10-09,-12.15%,1990-07-19
1990-09-18,KCU90,"Coffee September 1990 Futures",93.2,108.5,1990-03-06,77.25,1989-10-09,+6.05%,1990-09-18
1990-12-14,KCZ90,"Coffee December 1990 Futures",91.1,109.5,1990-03-06,80.5,1990-11-16,+3.82%,1990-12-14
1991-03-18,KCH91,"Coffee March 1991 Futures",92.75,107.8,1990-04-10,81.75,1991-02-04,-5.84%,1991-03-18
1991-05-20,KCK91,"Coffee May 1991 Futures",88.65,109.25,1990-09-06,84.35,1991-02-04,-14.96%,1991-05-20
1991-07-19,KCN91,"Coffee July 1991 Futures",82.5,112,1990-09-05,81.5,1991-07-17,-16.24%,1991-07-19
1991-09-18,KCU91,"Coffee September 1991 Futures",84.2,106.5,1990-09-20,77.6,1991-08-21,-19.54%,1991-09-18
1991-12-18,KCZ91,"Coffee December 1991 Futures",75.3,103,1991-03-22,73.25,1991-12-13,-26.10%,1991-12-18
1992-03-19,KCH92,"Coffee March 1992 Futures",74.35,105.1,1991-03-22,64.5,1992-02-24,-26.57%,1992-03-19
1992-05-18,KCK92,"Coffee May 1992 Futures",65,99.9,1991-09-10,57.7,1992-05-06,-34.84%,1992-05-18
1992-07-21,KCN92,"Coffee July 1992 Futures",58.55,101.65,1991-09-09,54.5,1992-06-25,-37.94%,1992-07-21
1992-09-18,KCU92,"Coffee September 1992 Futures",54.05,102.5,1991-09-24,48.1,1992-08-17,-45.27%,1992-09-18
1992-12-18,KCZ92,"Coffee December 1992 Futures",79.75,91.25,1992-01-10,49.8,1992-09-10,-10.49%,1992-12-18
1993-03-19,KCH93,"Coffee March 1993 Futures",59.85,85.25,1992-03-23,51.65,1992-09-10,-29.59%,1993-03-19
1993-05-18,KCK93,"Coffee May 1993 Futures",62.5,87.4,1992-12-22,51.7,1993-04-22,-17.98%,1993-05-18
1993-07-20,KCN93,"Coffee July 1993 Futures",72.65,88.3,1992-12-22,54.1,1993-04-22,+3.42%,1993-07-20
1993-09-20,KCU93,"Coffee September 1993 Futures",78.85,89.75,1992-12-22,56.05,1993-04-22,+27.59%,1993-09-20
1993-12-17,KCZ93,"Coffee December 1993 Futures",77.75,91,1992-12-22,59,1993-04-22,-10.06%,1993-12-17
1994-03-21,KCH94,"Coffee March 1994 Futures",79.85,85.7,1993-09-14,59.95,1993-04-23,+14.32%,1994-03-21
1994-05-18,KCK94,"Coffee May 1994 Futures",123.15,129,1994-05-17,66.15,1993-06-11,+71.88%,1994-05-18
1994-07-19,KCN94,"Coffee July 1994 Futures",230.45,263.5,1994-07-13,74,1994-01-07,+188.24%,1994-07-19
1994-09-20,KCU94,"Coffee September 1994 Futures",224.25,274,1994-07-13,75.5,1994-01-07,+157.46%,1994-09-20
1994-12-19,KCZ94,"Coffee December 1994 Futures",152.3,244.25,1994-07-19,77.1,1993-12-30,+80.24%,1994-12-19
1995-03-21,KCH95,"Coffee March 1995 Futures",165.5,244,1994-07-19,85.65,1994-04-06,+92.00%,1995-03-21
1995-05-18,KCK95,"Coffee May 1995 Futures",165.65,244.4,1994-07-19,112.5,1994-06-06,+45.95%,1995-05-18
1995-07-19,KCN95,"Coffee July 1995 Futures",137,238.5,1994-07-21,120.5,1995-07-06,-44.17%,1995-07-19
1995-09-19,KCU95,"Coffee September 1995 Futures",120,238,1994-09-20,120,1995-09-19,-48.05%,1995-09-19
1995-12-18,KCZ95,"Coffee December 1995 Futures",100.9,189,1995-03-10,100.9,1995-12-18,-37.02%,1995-12-18
1996-03-19,KCH96,"Coffee March 1996 Futures",124.5,183.75,1995-04-25,90.4,1996-01-03,-27.62%,1996-03-19
1996-05-20,KCK96,"Coffee May 1996 Futures",127,170,1995-05-22,90.1,1996-01-03,-27.45%,1996-05-20
1996-07-19,KCN96,"Coffee July 1996 Futures",117.65,152.55,1995-08-28,90.5,1996-01-03,-13.11%,1996-07-19
1996-09-18,KCU96,"Coffee September 1996 Futures",109.2,138.5,1996-08-26,91,1996-01-03,-11.76%,1996-09-18
1996-12-17,KCZ96,"Coffee December 1996 Futures",125.15,133.7,1996-12-13,91,1996-01-03,+18.07%,1996-12-17
1997-03-18,KCH97,"Coffee March 1997 Futures",209.6,227.5,1997-03-05,94.2,1996-07-22,+79.22%,1997-03-18
1997-05-20,KCK97,"Coffee May 1997 Futures",255.25,280,1997-05-20,93,1996-07-16,+112.71%,1997-05-20
1997-07-21,KCN97,"Coffee July 1997 Futures",195.7,318,1997-05-29,94.75,1996-07-22,+98.38%,1997-07-21
1997-09-18,KCU97,"Coffee September 1997 Futures",177.75,277,1997-05-29,98.75,1996-12-06,+76.16%,1997-09-18
1997-12-17,KCZ97,"Coffee December 1997 Futures",164.25,228.8,1997-05-29,101.5,1996-12-20,+61.82%,1997-12-17
1998-03-19,KCH98,"Coffee March 1998 Futures",149.1,205.8,1997-05-29,125,1997-03-21,+18.80%,1998-03-19
1998-05-18,KCK98,"Coffee May 1998 Futures",129.75,196.8,1997-05-29,123,1998-05-04,-25.43%,1998-05-18
1998-07-21,KCN98,"Coffee July 1998 Futures",113.5,174,1997-12-15,108.5,1998-07-20,-11.84%,1998-07-21
1998-09-18,KCU98,"Coffee September 1998 Futures",104.5,166,1997-12-15,104,1998-09-18,-24.00%,1998-09-18
1998-12-18,KCZ98,"Coffee December 1998 Futures",116.75,150,1998-02-19,98.75,1998-09-21,-18.92%,1998-12-18
1999-03-19,KCH99,"Coffee March 1999 Futures",101.5,131.5,1998-04-15,98.5,1998-09-21,-18.47%,1999-03-19
1999-05-18,KCK99,"Coffee May 1999 Futures",109.9,124.75,1999-01-05,95.5,1999-04-09,-5.87%,1999-05-18
1999-07-20,KCN99,"Coffee July 1999 Futures",94.35,127,1999-05-27,92,1999-07-06,-15.53%,1999-07-20
1999-09-20,KCU99,"Coffee September 1999 Futures",80.3,128,1999-05-27,80.15,1999-09-20,-22.94%,1999-09-20
1999-12-17,KCZ99,"Coffee December 1999 Futures",128.65,145,1999-12-02,80,1999-10-01,+7.12%,1999-12-17
2000-03-21,KCH00,"Coffee March 2000 Futures",103.75,149,1999-12-02,83.5,1999-10-01,-4.55%,2000-03-21
2000-05-18,KCK00,"Coffee May 2000 Futures",91.5,150,1999-12-02,85.85,1999-10-01,-25.09%,2000-05-18
2000-07-19,KCN00,"Coffee July 2000 Futures",111.15,149,1999-12-02,79.75,2000-07-07,+10.05%,2000-07-19
2000-09-19,KCU00,"Coffee September 2000 Futures",77.2,148.5,1999-12-02,72.2,2000-09-05,-16.27%,2000-09-19
2000-12-18,KCZ00,"Coffee December 2000 Futures",62.7,147.5,1999-12-20,61.55,2000-12-14,-55.64%,2000-12-18
2001-03-20,KCH01,"Coffee March 2001 Futures",60.05,128,2000-07-18,56,2001-03-16,-47.55%,2001-03-20
2001-05-18,KCK01,"Coffee May 2001 Futures",63.8,127,2000-07-18,56,2001-04-17,-40.09%,2001-05-18
2001-07-19,KCN01,"Coffee July 2001 Futures",52.2,111,2000-07-21,50,2001-07-16,-56.86%,2001-07-19
2001-09-20,KCU01,"Coffee September 2001 Futures",46.25,102.5,2000-10-18,46.25,2001-09-20,-49.92%,2001-09-20
2001-12-14,KCZ01,"Coffee December 2001 Futures",43.8,83.75,2001-01-23,41.5,2001-12-05,-44.56%,2001-12-14
2002-03-18,KCH02,"Coffee March 2002 Futures",50.6,79.4,2001-05-08,42.7,2002-02-12,-31.11%,2002-03-18
2002-05-20,KCK02,"Coffee May 2002 Futures",49.3,77.9,2001-05-22,45.6,2002-02-12,-37.79%,2002-05-20
2002-07-19,KCN02,"Coffee July 2002 Futures",47.35,67.55,2001-07-24,46.1,2002-06-19,-28.85%,2002-07-19
2002-09-18,KCU02,"Coffee September 2002 Futures",59,63.25,2002-04-02,46,2002-08-15,+1.55%,2002-09-18
2002-12-17,KCZ02,"Coffee December 2002 Futures",58.9,73.5,2002-10-25,49.7,2002-08-19,+9.38%,2002-12-17
